,title,perusahaan
0,Marketing Executive,PT Supra Primatama Nusantara
1,Online Sales Manager,Clout Indonesia Group
2,SPG (Cabang Klaten),PT. Pelinda Sarana Sukses
3,Account Manager,People Connect
4,Tiktok Operation Supervisor,Pt. Sahabat Promosi Anda
5,Customer Service (Mandarin Speaker),PT. Cahaya Optimis Talenta
6,Freelance Trade Finance Professional,Trdfin Support Service Pvt Ltd
7,Freelance Trade Finance Professional,Trdfin Support Service Pvt Ltd
8,Freelance Trade Finance Professional,Trdfin Support Service Pvt Ltd
9,Freelance Trade Finance Professional,Trdfin Support Service Pvt Ltd
10,Freelance Trade Finance Professional,Trdfin Support Service Pvt Ltd
11,Guru DKV (Desain Komunikasi Visual),Perguruan Diponegoro Jakarta
12,Guru Ekonomi,Perguruan Diponegoro Jakarta
13,Guru Sosiologi,Perguruan Diponegoro Jakarta
14,Guru Geografi,Perguruan Diponegoro Jakarta
15,Guru Kimia,Perguruan Diponegoro Jakarta
16,Guru Biologi,Perguruan Diponegoro Jakarta
17,Guru Pendidikan Kewarganegaraan,Perguruan Diponegoro Jakarta
18,Guru Fisika,Perguruan Diponegoro Jakarta
19,Guru Bahasa Inggris,Perguruan Diponegoro Jakarta
20,Guru Pendidikan Agama Islam,Perguruan Diponegoro Jakarta
21,Guru IPA,Perguruan Diponegoro Jakarta
22,Guru Bahasa Indonesia,Perguruan Diponegoro Jakarta
23,Guru Matematika,Perguruan Diponegoro Jakarta
24,Freelance Trade Finance Professional,Trdfin Support Service Pvt Ltd
25,Staff Umum - Cikarang,LPK MINORI
26,Guru Bahasa Inggris,Sekolah Bunyan Indonesia
27,Guru Bahasa Arab,Sekolah Bunyan Indonesia
28,Guru Ilmu Syariah,Sekolah Bunyan Indonesia
29,Guru Muhafizh,Sekolah Bunyan Indonesia
